year,quarter,vendor,units_mln,market_share
2023,1,NVIDIA,6.9,84.0
2023,1,AMD,1.1,13.0
2023,1,INTEL,0.2,3.0
2023,2,NVIDIA,7.2,85.0
2023,2,AMD,1.0,12.0
2023,2,INTEL,0.3,3.0
2023,3,NVIDIA,6.8,84.0
2023,3,AMD,1.1,14.0
2023,3,INTEL,0.2,2.0
2023,4,NVIDIA,8.6,88.0
2023,4,AMD,1.0,10.0
2023,4,INTEL,0.2,2.0
2024,1,NVIDIA,7.8,87.0
2024,1,AMD,1.0,11.0
2024,1,INTEL,0.2,2.0
2024,2,NVIDIA,8.4,89.0
2024,2,AMD,0.9,10.0
2024,2,INTEL,0.2,1.0
2024,3,NVIDIA,9.2,90.0
2024,3,AMD,0.9,9.0
2024,3,INTEL,0.2,1.0
2024,4,NVIDIA,10.7,92.0
2024,4,AMD,0.8,7.0
2024,4,INTEL,0.1,1.0
2025,1,NVIDIA,10.4,92.0
2025,1,AMD,0.9,8.0
2025,1,INTEL,0.0,0.0
2025,2,NVIDIA,11.6,94.0
2025,2,AMD,0.696,6.0
2025,2,INTEL,0.0,0.0
